Conjunctions (joining words),,,Articles,,,referring to people,,,Pronouns,,,,Nouns,,,Verbs,,,Adjectives,,,Adverbs,
e,and,,o,the (masc. sing.),,eu,i,,Person,direct object,indirect object,,dia,day,,ser,to be (permanent),,grande,big,,hoje,today
ou,or,,a,the (fem. sing.),,tu,you (inf),,eu,me,me,,ano,year,,estar,to be (temporary / location),,pequeno/a,small,,ontem,yesterday
mas,but,,os,the (masc. pl.),,ele,he,,tu,te,te,,hora,hour / time (clock),,ter,to have,,alto/a,tall / high,,amanhã,tomorrow
porque,because,,as,the (fem. pl.),,ela,she,,ele,o,lhe,,semana,week,,ir,to go,,baixo/a,short / low,,agora,now
então,so / then,,um,a / one (masc.),,você (formal),you (formal),,ela,a,lhe,,mês,month,,fazer,to do / to make,,comprido/a,long,,depois,later / after
também,also / too,,uma,a / one (fem.),,nós,we,,você (formal),o/a,lhe,,manhã,morning,,haver,there is / there are (há),,curto/a,short (length),,antes,before
quando,when,,uns,some (masc.),,eles/elas,they (m or f),,nós,nos,nos,,tarde,afternoon,,poder,can / to be able,,largo/a,wide,,já,already / now
se,if,,umas,some (fem.),,vocês,you (plural),,eles/elas,os/as,lhes,,noite,night / evening,,querer,to want,,estreito/a,narrow,,ainda,still / yet
,,,,,,,,,vocês,vos,vos,,minuto,minute,,gostar de,to like,,cheio/a,full,,cedo,early
Prepositions,,,Question words,,,"Prepositional pronouns (used after prepositions like para, de, com, sem)",,,,,,,tempo,time / weather,,saber,to know (facts / how to),,vazio/a,empty,,tarde,late
de,of / from,,o que / que,what,,eu,mim,,Reflexive pronouns (when subject and object are the same),,,,aniversário,birthday,,conhecer,to know (people / places),,,,,logo,soon / right away
em,in / on / at,,quem,who,,tu,ti,,eu,me,,,,,,dizer,to say / to tell,,bom / boa,good,,,
a,to / at,,de quem,whose,,você,si,,tu,te,,,tempo,weather / time,,falar,to speak,,mau / má,bad,,sempre,always
para,for / to (destination),,onde,where,,(everything else),(unchanged),,ele/ela/você,se,,,sol,sun,,ver,to see / to watch,,bonito/a,pretty / nice-looking,,nunca,never
por,by / through / for,,quando,when,,prep pronouns with com (fused form),,,nós,nos,,,chuva,rain,,dar,to give,,feio/a,ugly,,às vezes,sometimes
com,with,,porque/ê,why,,comigo,com mim (with me),,eles/elas/vocês,se,,,frio,cold,,vir,to come,,novo/a,new / young,,muitas vezes,often
sem,without,,como,how,,contigo,"com ti (with you, inf.)",,,,,,calor,heat,,ficar,to stay / to be located,,velho/a,old,,poucas vezes,rarely
sobre,about / on top of,,qual ,which,,consigo,"com si (with you, form., or himself/herself)",,Possessives,,,,vento,wind,,chamar-se,to be called,,interessante,interesting,,normalmente,normally
entre,between,,quais,which (plural),,connosco,com nós (with us),,Person,Masc.,Fem. ,,neve,snow,,morar,to live (reside),,aborrecido/a,boring / bored,,geralmente,generally
até,until / up to,,quanto/a,how much,,convosco,com vocês (with you all),,eu ,meu (s),minha (s),,céu,sky,,viver,to live,,fácil,easy,,raramente,rarely
,,,quantos/as,how many,,,,,tu ,teu (s),tua (s),,nuvem,cloud,,trabalhar,to work,,difícil,difficult,,,
